cond((Int)),disp((Int)),cond(guild),cond(Hab),cond(Spec),cond(Treatment),cond(guild:Hab),cond(guild:Spec),cond(guild:Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(guild:Hab:Spec),cond(guild:Hab:Treatment),cond(guild:Spec:Treatment),cond(Hab:Spec:Treatment),cond(guild:Hab:Spec:Treatment),df,logLik,AICc,delta,weight
2.703803848123996,+,+,+,+,NA,+,+,NA,+,NA,NA,+,NA,NA,NA,NA,67,-697.3948100568427,1564.9483502724156,126.27086235711249,1.90512574375147e-28
1.9202849426365223,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,+,NA,86,-665.050343278083,1566.3238625218312,127.64637460652807,9.5771205882683e-29
2.2133205907671387,+,+,+,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,83,-677.604846889182,1580.294439541076,141.6169516257728,8.86263169247021e-32
1.926674870236515,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,NA,86,-673.4526421206701,1583.1284602070054,144.45097229170233,2.14863642133443e-32
2.029446879070283,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,NA,NA,83,-679.5141024939841,1584.11295075068,145.43546283537694,1.31335922178024e-32
1.9513247490912218,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,NA,86,-674.9585666358137,1586.1403092372925,147.4628213219894,4.76593621930849e-33
1.8077023140354969,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,NA,95,-659.0794194196394,1589.5874102678504,150.90992235254726,8.50393139703031e-34
1.82720660921454,+,+,+,+,+,+,+,+,+,+,+,+,NA,+,+,NA,95,-661.1383357188624,1593.7052428662964,155.0277549509933,1.08503503266618e-34
1.88089506790142,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,NA,95,-669.9514259858005,1611.3314234001723,172.65393548486918,1.61423696846511e-38
1.7395959156450986,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,NA,104,-654.3029469318303,1618.187289212498,179.50980129719483,5.2388376934754e-40
2.1380874480554892,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,131,-615.9392147113526,1677.835876231216,239.15838831591282,5.84398168014901e-53
